"Ad set name",Age,Gender,"Ad name","Campaign name",Day,"Delivery status","Delivery level","Ad set name","Amount spent (USD)","Result Type","Cost per result","CPM (cost per 1,000 impressions)",Reach,"hook rate","hold rate","Video average play time","CTR (link click-through rate)","Link clicks","CPC (cost per link click)","Adds to cart","Website adds to cart","Cost per add to cart","Checkouts initiated","Website checkouts initiated","Cost per checkout initiated",Purchases,"Website purchases","Cost per purchase","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on advertising spend)",Frequency,"Reporting starts","Reporting ends"
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 3 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-09,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.08,,,80,1,0,,3,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",45-54,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",7.9,,,92.94117647,72,0.49411765,0.30952381,11,3.52941176,3,2.63333333,1,1,7.9,1,1,7.9,,,,,,1.18055556,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",25-34,female,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.04,,,40,1,0,,2,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",45-54,female,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.02,,,20,1,0,,,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.4,,,66.66666667,6,0.83333333,0.4,19,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",35-44,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",2.65,,,82.8125,30,0.59375,0.26315789,12,3.125,1,2.65,,,,,,,,,,,,1.06666667,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",10.69,,,104.80392157,94,0.51960784,0.24528302,10,3.92156863,4,2.6725,2,2,5.345,1,1,10.69,,,,,,1.08510638,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",25-34,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.53,,,66.25,8,0.5,0.25,5,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,female,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",8.45,"Website purchases",8.45,100.5952381,74,0.55952381,0.55319149,19,7.14285714,6,1.40833333,1,1,8.45,2,2,4.225,1,1,8.45,10.64970414,10.64970414,1.13513514,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,male,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.32,,,320,1,0,,1,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.15,,,50,3,0.33333333,0,3,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",45-54,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.17,,,56.66666667,3,0.33333333,0,3,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",35-44,male,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.02,,,20,1,0,,1,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",35-44,unknown,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.07,,,70,1,0,,2,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,unknown,re1,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.06,,,60,1,0,,0,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",45-54,female,list2,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.2,,,200,1,0,,3,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,female,list2,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.06,,,30,2,1,0,7,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",55-64,female,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.56,,,112,5,0.4,1,19,20,1,0.56,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,female,list2,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.47,,,156.66666667,2,0.66666667,0.5,41,33.33333333,1,0.47,,,,,,,,,,,,1.5,2025-08-09,2025-08-09
"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",65+,female,re2,"RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT | Misc | Main Set | PDP/LISTICLE | Jul 25",0.48,,,68.57142857,6,0.71428571,0.4,16,28.57142857,2,0.24,,,,,,,,,,,,1.16666667,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",55-64,female,"re1 – listicle – Copy - control","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",4.86,,,162,27,0.63333333,0.36842105,18,6.66666667,2,2.43,1,1,4.86,1,1,4.86,,,,,,1.11111111,2025-08-09,2025-08-09
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",55-64,female,ageminivsl4,"RLB | MAIN | US | Philippians 4:13",2025-08-09,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.02,,,20,1,0,,,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",25-34,female,"Ad 4 - Hook 4","RLB | MAIN | US | Philippians 4:13",2025-08-09,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0.03,,,30,1,0,,,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",55-64,female,"ageminivsl4 – Copy - listicle","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",0.13,,,43.33333333,3,1,0,6,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",65+,female,"ageminivsl4 – Copy - listicle","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",0.11,,,27.5,4,0.75,0,5,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",35-44,female,"ageminivsl4 – Copy - listicle","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",0.07,,,70,1,0,,1,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",55-64,female,"ageminivsl3 – Copy - listicle","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",0.76,,,380,2,0.5,1,382,50,1,0.76,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",65+,female,"ageminivsl3 – Copy - listicle","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",0.31,,,62,5,0.6,0.33333333,20,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",55-64,female,"Ad 1 - Hook 1","RLB | MAIN | US | Philippians 4:13",2025-08-09,not_delivering,ad,"RLT | Age | Set 2 | Listicle LP Test | Aug 6 – Copy",0,,,0,1,1,0,3,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",35-44,female,"re1 – listicle – Copy - control","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",0.65,,,65,10,0.7,0.42857143,14,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT | Age | Set 1 | Listicle LP Test | Jul 30",65+,female,ageminivsl4,"RLB | MAIN | US | Philippians 4:13",2025-08-09,not_delivering,ad,"RLT | Age | Set 1 | Listicle LP Test | Jul 30",0.1,,,50,2,0,,2,,,,,,,,,,,,,,,1,2025-08-09,2025-08-09
"RLT| Testing | Set 0 | LP | Aug 9",65+,female,"re1 – listicle – Copy - control","RLB | MAIN | US | Philippians 4:13",2025-08-09,active,ad,"RLT| Testing | Set 0 | LP | Aug 9",1.53,,,61.2,23,0.48,0.41666667,12,8,2,0.765,,,,,,,,,,,,1.08695652,2025-08-09,2025-08-09
